Dp_tp [kPa],p_avg_rel [kPa],p_avg_abs [Pa],Q_l [nl/h],Q_g [nl/h],T_l [K],T_g [K],p_eff_g [Pa]
0.7406916,5.7722586,107097.2586,10,500,300.65,295.15,400000
0.90842,6.2570118,107582.0118,10,1000,300.65,295.15,400000
1.7109838,7.2354083,108560.4083,10,1500,300.65,295.15,400000
2.4260086,8.5133639,109838.3639,10,2000,300.65,295.15,400000
3.097317,10.1385511,111463.5511,10,2500,300.65,295.15,400000
3.9630334,12.3009957,113625.9957,10,3000,300.65,295.15,400000
4.754762,14.3958688,115720.8688,10,3500,300.65,295.15,400000
5.8096348,16.7683874,118093.3874,10,4000,300.65,295.15,400000
1.0227644,6.6802028,108005.2028,20,500,300.65,295.15,400000
1.6267958,7.6308057,108955.8057,20,1000,300.65,295.15,400000
2.7110266,9.1926281,110517.6281,20,1500,300.65,295.15,400000
3.7465866,11.2541949,112579.1949,20,2000,300.65,295.15,400000
5.607799,14.0346319,115359.6319,20,2500,300.65,295.15,400000
6.921644,17.2988632,118623.8632,20,3000,300.65,295.15,400000
8.1247114,20.1887059,121513.7059,20,3500,300.65,295.15,400000
9.2883754,23.4974007,124822.4007,20,4000,300.65,295.15,400000
1.3006366,7.4561801,108781.1801,30,500,300.65,295.15,400000
2.29461,9.09905,110424.05,30,1000,300.65,295.15,400000
3.8342556,11.3349304,112659.9304,30,1500,300.65,295.15,400000
5.5002336,13.840534,115165.534,30,2000,300.65,295.15,400000
7.113339,17.5984647,118923.4647,30,2500,300.65,295.15,400000
9.258711,21.4323967,122757.3967,30,3000,300.65,295.15,400000
11.008195,25.7829907,127107.9907,30,3500,300.65,295.15,400000
12.6782296,30.0020772,131327.0772,30,4000,300.65,295.15,400000
1.8420428,8.5727344,109897.7344,40,500,300.65,295.15,400000
3.1189542,10.5319603,111856.9603,40,1000,300.65,295.15,400000
4.6847712,13.3267416,114651.7416,40,1500,300.65,295.15,400000
7.2923494,17.1077535,118432.7535,40,2000,300.65,295.15,400000
9.5184328,21.3454268,122670.4268,40,2500,300.65,295.15,400000
11.8247886,26.6897051,128014.7051,40,3000,300.65,295.15,400000
